transfer_date,invoice_number,amount,notes
2026-05-11,39132,32.50,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,39133,15.00,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,39134,15.00,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,39135,32.50,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,39136,32.50,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,39145,132.50,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,39175,46.25,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,39214,35.00,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,39215,70.00,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,39216,73.50,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,39246,55.00,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,39340,70.00,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,39385,22.50,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,39408,40.00,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,38667,15.00,Backfilled before tracking started — released by Flexent 2026-05-04
